3159457634;9872367431;Como te fue ayer?;29/09/2021;13:43:44;Mensaje
3119874563;3212111456;34.0;29/09/2021;13:44:44;Llamada
3149835473;3234564561;20.0;29/09/2021;13:45:13;Llamada
3149835473;3142386472;Jajajajaa;29/09/2021;13:45:33;Mensaje
3180569875;3153473453;5.0;29/09/2021;13:46:02;Llamada
3119874563;3209994563;No se que responder...;29/09/2021;14:03:52;Mensaje
3119874563;4564573453;Enviame la foto porfa!;29/09/2021;16:24:48;Mensaje
3213346345;3445646464;Hola!;29/09/2021;17:24:45;Mensaje
3213346345;2346575685;45.0;29/09/2021;17:25:10;Llamada
3207017552;7862347234;Hola como estas?;29/09/2021;17:36:18;Mensaje
3207017552;3115676543;45.0;29/09/2021;17:36:45;Llamada
3214567890;3123456987;Hola;04/10/2021;18:42:53;Mensaje
3159457634;3456789875;34.0;04/10/2021;18:43:08;Llamada
